Product,Rating,MRP,Offer_Price,Discount,Reviews,Brand,Discounted_Price
"Noise Buds VS304 with 30 Hours Playtime, Instacharge, 1...",3.8,2999.0,1299.0,56% off,"(3,680)",Noise,1700.0
Mivi Duopods F30 with 42 hours battery Fast Charging TW...,3.9,2999.0,1099.0,63% off,"(1,72,344)",Mivi,1900.0
Tunifi G11 Gaming Earbuds True Wireless Bluetooth Heads...,3.7,3999.0,749.0,81% off,(10),Tunifi,3250.0
boAt Airdopes 381 with upto 20 Hours Playback and ASAP ...,3.9,4990.0,1999.0,59% off,"(2,71,282)",boAt,2991.0
"truke BTG X1 Earbuds with Game Mode, Quad Mic ENC, 20 R...",4,3499.0,1199.0,65% off,"(2,207)",truke,2300.0
PTron pTron Basspods Flare - TWS Bluetooth Headset,4,3199.0,1299.0,59% off,"(1,866)",PTron,1900.0
Mivi Duopods F30 with 42 hours battery Fast Charging TW...,3.9,2999.0,1000.0,66% off,"(1,72,344)",Mivi,1999.0
"boAt Airdopes 192 with Beast Mode(40ms), 30 Hours Playb...",4.2,3599.0,1899.0,47% off,(818),boAt,1700.0
Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,3.7,5999.0,1099.0,81% off,"(1,30,230)",Boult,4900.0
"truke Buds F1 with 38H Playtime, ENC, Instant Pairing, ...",3.9,2499.0,899.0,64% off,"(25,220)",truke,1600.0
Kabeer enterprises Double (Dual L/R)BT Sports With Char...,3.5,1499.0,429.0,71% off,(193),Kabeer,1070.0
